Date,Location,Operator,Type,Aboard,Fatalities,Ground,Operator_Category,Month,Year
2005-03-15,"Off Campbeltown, United Kingdom",Loganair,Pilatus-Britten Norman BN-2B-26 Islander,2.0,2.0,0.0,other,3,2005
2005-03-16,"Varandey, Russia",Regional Airlines,Antonov 24,52.0,28.0,0.0,commercial,3,2005
2005-03-23,"Off Mwanza, Tanzania",Air Transport,Ilyushin IL-76TD,8.0,8.0,0.0,commercial,3,2005
2005-03-26,"El Embrujo, Providencia Island, Colombia",West Caribbean Airways,Let-410UVP-E,14.0,8.0,0.0,commercial,3,2005
2005-03-31,"Near Rovie, Albania",Military - U.S. Air Force,Lockheed Hercules MC-130H,9.0,9.0,0.0,military,3,2005
2005-04-12,"Enarotali, Indonesia",GT Air,de Havilland Canada DHC-6 Twin Otter 100,18.0,18.0,0.0,commercial,4,2005
2005-04-20,"Tehran, Iran",Saha Airline Services,Boeing B-707-3J9C,169.0,3.0,0.0,commercial,4,2005
2005-04-28,"Pisco, Peru",Military - Fuerza Del Peru,Let 410UVP,13.0,13.0,0.0,military,4,2005
2005-05-02,"Taranaki, New Zealand",Airwork,Swearingen SA227AC Metro III,2.0,2.0,0.0,other,5,2005
2005-05-05,"Near Kisangani, DemocratiRepubliCongo",Kisangani Airlift,Antonov AN-26,11.0,10.0,0.0,other,5,2005
2005-05-07,"Lockhart River, Queensland, Australia",Aero-Tropics,Swearingen SA-227AC Metro III,15.0,15.0,0.0,other,5,2005
2005-05-16,"El Portezulo, Argentina",Transportes Aereos Don Carlos - Charter,Beech 65-A80 Queenaire,10.0,10.0,0.0,other,5,2005
2005-05-18,"Mongu, Zambia",Military - Zambia Air Force,Yunshuji Y-12,13.0,13.0,0.0,military,5,2005
2005-05-25,"Walungu, Congo",Charter - Maniema Union (owner Victoria Air),Antonov AN-12BP,27.0,27.0,0.0,commercial,5,2005
2005-06-02,"Khartoom, Sudan",Marsland Aviation,Antonov AN-24B,42.0,7.0,0.0,other,6,2005
2005-07-16,"Baney, Equatorial Guinea",Ecuatair,Antonov AN-24B,60.0,60.0,0.0,other,7,2005
2005-08-02,"Toronto, Canada",Air France,Airbus A-340,309.0,0.0,0.0,commercial,8,2005
2005-08-06,"Off Palermo, Italy",Tuninter,ATR-72-202,39.0,16.0,0.0,other,8,2005
2005-08-10,"Off Talinn, Estonia",Copterline,Sikorsky S-76C,14.0,14.0,0.0,other,8,2005
2005-08-14,"Near Grammatikos, Greece",Helios Airways,Boeing 737-31S,121.0,121.0,0.0,commercial,8,2005
2005-08-16,"Near La Cucharita, Venezuela",West Caribbean Airways,McDonnell Douglas MD-82,160.0,160.0,0.0,commercial,8,2005
2005-08-23,"Near Pucallpa, Peru",TANS Peru,Boeing B-737-244,98.0,40.0,0.0,other,8,2005
2005-09-05,"Isiro, DemoctratiRepubliCongo",Kavatshi Airlines,Antonov 26B,11.0,11.0,0.0,commercial,9,2005
2005-09-05,"Medan, Indonesia",Mandala Airlines,Boeing 737-230,117.0,99.0,44.0,commercial,9,2005
2005-09-09,"Near Brazzaville, Congo",Air Kasai,Antonov AN-26A,14.0,14.0,0.0,commercial,9,2005
